0,1,2,3,4
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3889,3889,3889,3889,3889
3889,3889,3889,3889,3889
3891,3891,3891,3891,3891
4454,4454,4454,4454,4454
3886,3886,3886,3886,3886
3889,3889,3889,3889,3889
3891,3891,3891,3891,3891
3891,3891,3891,3891,3891
3891,3891,3891,3891,3891
4389,4389,4389,4389,4389
4389,4389,4389,4389,4389
3891,3891,3891,3891,3891
3891,3891,3891,3891,3891
3891,3891,3891,3891,3891
3886,3886,3886,3886,3886
3891,3891,3891,3891,3891
4262,4262,4262,4262,4262
3889,3889,3889,3889,3889
3886,3886,3886,3886,3886
4006,4006,4006,4006,4006
3902,3902,3902,3902,3902
3891,3891,3891,3891,3891
4006,4006,4006,4006,4006
4006,4006,4006,4006,4006
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3902,3902,3902,3902,3902
3902,3902,3902,3902,3902
3889,3889,3889,3889,3889
3891,3891,3891,3891,3891
3896,3896,3896,3896,3896
3886,3886,3886,3886,3886
3891,3891,3891,3891,3891
4012,4012,4012,4012,4012
4012,4012,4012,4012,4012
4012,4012,4012,4012,4012
4012,4012,4012,4012,4012
4012,4012,4012,4012,4012
4012,4012,4012,4012,4012
3926,3926,3926,3926,3926
3926,3926,3926,3926,3926
3926,3926,3926,3926,3926
3926,3926,3926,3926,3926
4169,4169,4169,4169,4169
4169,4169,4169,4169,4169
3895,3895,3895,3895,3895
3895,3895,3895,3895,3895
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3896,3896,3896,3896,3896
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
4200,4200,4200,4200,4200
4346,4346,4346,4346,4346
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
5541,5541,5541,5541,5541
3895,3895,3895,3895,3895
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
4346,4346,4346,4346,4346
4346,4346,4346,4346,4346
4346,4346,4346,4346,4346
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
4454,4454,4454,4454,4454
3891,3891,3891,3891,3891
3892,3892,3892,3892,3892
3893,3893,3893,3893,3893
3893,3893,3893,3893,3893
3893,3893,3893,3893,3893
3888,3888,3888,3888,3888
3893,3893,3893,3893,3893
3893,3893,3893,3893,3893
3891,3891,3891,3891,3891
4006,4006,4006,4006,4006
3896,3896,3896,3896,3896
3891,3891,3891,3891,3891
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3889,3889,3889,3889,3889
3896,3896,3896,3896,3896
3896,3896,3896,3896,3896
3886,3886,3886,3886,3886
3896,3896,3896,3896,3896
3891,3891,3891,3891,3891
3889,3889,3889,3889,3889
3889,3889,3889,3889,3889
3896,3896,3896,3896,3896
4346,4346,4346,4346,4346
3886,3886,3886,3886,3886
4346,4346,4346,4346,4346
4346,4346,4346,4346,4346
4346,4346,4346,4346,4346
3888,3888,3888,3888,3888
4006,4006,4006,4006,4006
4006,4006,4006,4006,4006
4006,4006,4006,4006,4006
4006,4006,4006,4006,4006
4006,4006,4006,4006,4006
4006,4006,4006,4006,4006
4454,4454,4454,4454,4454
3902,3902,3902,3902,3902
3890,3890,3890,3890,3890
3890,3890,3890,3890,3890
3890,3890,3890,3890,3890
3897,3897,3897,3897,3897
3890,3890,3890,3890,3890
7146,7146,7146,7146,7146
3891,3891,3891,3891,3891
3890,3890,3890,3890,3890
3890,3890,3890,3890,3890
3914,3914,3914,3914,3914
4262,4262,4262,4262,4262
3891,3891,3891,3891,3891
4298,4298,4298,4298,4298
3888,3888,3888,3888,3888
3888,3888,3888,3888,3888
4200,4200,4200,4200,4200
4200,4200,4200,4200,4200
3893,3893,3893,3893,3893
3886,3886,3886,3886,3886
4169,4169,4169,4169,4169
3886,3886,3886,3886,3886
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3886,3886,3886,3886,3886
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3892,3892,3892,3892,3892
3886,3886,3886,3886,3886
5541,5541,5541,5541,5541
4169,4169,4169,4169,4169
3886,3886,3886,3886,3886
3886,3886,3886,3886,3886
3890,3890,3890,3890,3890
